topic,category,n_miscomm,n_no_miscomm,n_total
dataframe,pragmatic_tone,3.0,147740.0,147743
spring-boot,pragmatic_tone,13.0,145539.0,145552
azure,pragmatic_tone,3.0,142506.0,142509
list,pragmatic_tone,15.0,141422.0,141437
multithreading,pragmatic_tone,39.0,139297.0,139336
firebase,pragmatic_tone,4.0,138935.0,138939
vb.net,pragmatic_tone,23.0,138821.0,138844
docker,pragmatic_tone,2.0,134306.0,134308
react-native,pragmatic_tone,1.0,128352.0,128353
eclipse,pragmatic_tone,17.0,122087.0,122104
algorithm,pragmatic_tone,39.0,120613.0,120652
powershell,pragmatic_tone,10.0,118169.0,118179
macos,pragmatic_tone,16.0,114773.0,114789
numpy,pragmatic_tone,5.0,114085.0,114090
visual-studio,pragmatic_tone,23.0,113457.0,113480
forms,pragmatic_tone,15.0,111755.0,111770
image,pragmatic_tone,14.0,111367.0,111381
function,pragmatic_tone,18.0,110849.0,110867
scala,pragmatic_tone,8.0,110738.0,110746
vue.js,pragmatic_tone,5.0,105074.0,105079
twitter-bootstrap,pragmatic_tone,9.0,101407.0,101416
performance,pragmatic_tone,48.0,101110.0,101158
winforms,pragmatic_tone,14.0,98492.0,98506
selenium,pragmatic_tone,2.0,98092.0,98094
loops,pragmatic_tone,16.0,96174.0,96190
kotlin,pragmatic_tone,3.0,94413.0,94416
sqlite,pragmatic_tone,9.0,93776.0,93785
matlab,pragmatic_tone,13.0,93376.0,93389
python-2.7,pragmatic_tone,7.0,93075.0,93082
hibernate,pragmatic_tone,8.0,92832.0,92840
shell,pragmatic_tone,10.0,92434.0,92444
express,pragmatic_tone,2.0,92248.0,92250
dart,pragmatic_tone,4.0,91879.0,91883
entity-framework,pragmatic_tone,13.0,90478.0,90491
csv,pragmatic_tone,8.0,89591.0,89599
rest,pragmatic_tone,7.0,89372.0,89379
apache,pragmatic_tone,10.0,89273.0,89283
maven,pragmatic_tone,2.0,87083.0,87085
android-studio,pragmatic_tone,7.0,86755.0,86762
linq,pragmatic_tone,17.0,86440.0,86457
dictionary,pragmatic_tone,9.0,85747.0,85756
qt,pragmatic_tone,23.0,84739.0,84762
asp.net-core,pragmatic_tone,5.0,83965.0,83970
unit-testing,pragmatic_tone,8.0,83370.0,83378
facebook,pragmatic_tone,9.0,81835.0,81844
swing,pragmatic_tone,14.0,81086.0,81100
file,pragmatic_tone,14.0,80552.0,80566
class,pragmatic_tone,11.0,79461.0,79472
apache-spark,pragmatic_tone,3.0,79211.0,79214
tensorflow,pragmatic_tone,3.0,77838.0,77841
sorting,pragmatic_tone,15.0,76834.0,76849
date,pragmatic_tone,8.0,76706.0,76714
unity-game-engine,pragmatic_tone,2.0,74885.0,74887
t-sql,pragmatic_tone,13.0,73535.0,73548
go,pragmatic_tone,5.0,72763.0,72768
authentication,pragmatic_tone,12.0,72650.0,72662
symfony,pragmatic_tone,10.0,72636.0,72646
for-loop,pragmatic_tone,13.0,71759.0,71772
.htaccess,pragmatic_tone,7.0,71689.0,71696
matplotlib,pragmatic_tone,1.0,71473.0,71474
datetime,pragmatic_tone,12.0,71108.0,71120
opencv,pragmatic_tone,6.0,70900.0,70906
google-chrome,pragmatic_tone,8.0,69208.0,69216
codeigniter,pragmatic_tone,8.0,68598.0,68606
perl,pragmatic_tone,19.0,68014.0,68033
validation,pragmatic_tone,10.0,66465.0,66475
http,pragmatic_tone,14.0,66395.0,66409
sockets,pragmatic_tone,8.0,64855.0,64863
object,pragmatic_tone,10.0,64690.0,64700
google-maps,pragmatic_tone,8.0,64516.0,64524
uitableview,pragmatic_tone,10.0,63513.0,63523
xaml,pragmatic_tone,7.0,62211.0,62218
if-statement,pragmatic_tone,3.0,62013.0,62016
oop,pragmatic_tone,17.0,61978.0,61995
ubuntu,pragmatic_tone,11.0,58918.0,58929
cordova,pragmatic_tone,3.0,58226.0,58229
visual-studio-code,pragmatic_tone,1.0,58199.0,58200
email,pragmatic_tone,7.0,57958.0,57965
android-layout,pragmatic_tone,8.0,57713.0,57721
ms-access,pragmatic_tone,5.0,57691.0,57696
web-services,pragmatic_tone,9.0,57662.0,57671
spring-mvc,pragmatic_tone,5.0,57209.0,57214
ggplot2,pragmatic_tone,0.0,57192.0,57192
parsing,pragmatic_tone,6.0,57000.0,57006
pointers,pragmatic_tone,19.0,56915.0,56934
github,pragmatic_tone,5.0,56649.0,56654
user-interface,pragmatic_tone,6.0,56516.0,56522
kubernetes,pragmatic_tone,2.0,56511.0,56513
c++11,pragmatic_tone,17.0,56492.0,56509
selenium-webdriver,pragmatic_tone,2.0,56144.0,56146
google-sheets,pragmatic_tone,1.0,56008.0,56009
elasticsearch,pragmatic_tone,1.0,55930.0,55931
google-apps-script,pragmatic_tone,1.0,55234.0,55235
templates,pragmatic_tone,12.0,55194.0,55206
ruby-on-rails-3,pragmatic_tone,4.0,55087.0,55091
security,pragmatic_tone,13.0,54925.0,54938
variables,pragmatic_tone,12.0,53655.0,53667
machine-learning,pragmatic_tone,3.0,53518.0,53521
flask,pragmatic_tone,0.0,53429.0,53429
sql-server-2008,pragmatic_tone,6.0,53382.0,53388
exception,pragmatic_tone,13.0,53031.0,53044
tkinter,pragmatic_tone,3.0,52317.0,52320
delphi,pragmatic_tone,19.0,52147.0,52166
nginx,pragmatic_tone,3.0,52047.0,52050
listview,pragmatic_tone,1.0,51693.0,51694
haskell,pragmatic_tone,8.0,51458.0,51466
debugging,pragmatic_tone,6.0,51213.0,51219
asynchronous,pragmatic_tone,10.0,51086.0,51096
jpa,pragmatic_tone,3.0,51081.0,51084
jsp,pragmatic_tone,9.0,50767.0,50776
web-scraping,pragmatic_tone,1.0,50646.0,50647
gradle,pragmatic_tone,3.0,50352.0,50355
batch-file,pragmatic_tone,4.0,50170.0,50174
generics,pragmatic_tone,10.0,49944.0,49954
xamarin,pragmatic_tone,3.0,49888.0,49891
pdf,pragmatic_tone,4.0,49711.0,49715
google-cloud-platform,pragmatic_tone,1.0,49326.0,49327
wcf,pragmatic_tone,5.0,49250.0,49255
amazon-s3,pragmatic_tone,3.0,49120.0,49123
ssl,pragmatic_tone,2.0,49004.0,49006
testing,pragmatic_tone,4.0,48769.0,48773
jenkins,pragmatic_tone,2.0,48529.0,48531
npm,pragmatic_tone,0.0,47505.0,47505
unix,pragmatic_tone,9.0,47352.0,47361
recursion,pragmatic_tone,9.0,47162.0,47171
ionic-framework,pragmatic_tone,1.0,46390.0,46391
network-programming,pragmatic_tone,2.0,46288.0,46290
google-app-engine,pragmatic_tone,2.0,46095.0,46097
visual-studio-2010,pragmatic_tone,13.0,45654.0,45667
mongoose,pragmatic_tone,1.0,45397.0,45398
assembly,pragmatic_tone,14.0,45004.0,45018
.net-core,pragmatic_tone,3.0,44766.0,44769
android-fragments,pragmatic_tone,6.0,44290.0,44296
math,pragmatic_tone,16.0,44258.0,44274
join,pragmatic_tone,5.0,43612.0,43617
winapi,pragmatic_tone,13.0,43424.0,43437
svg,pragmatic_tone,4.0,43396.0,43400
rust,pragmatic_tone,5.0,43238.0,43243
animation,pragmatic_tone,3.0,43237.0,43240
session,pragmatic_tone,3.0,43159.0,43162
intellij-idea,pragmatic_tone,2.0,43092.0,43094
django-models,pragmatic_tone,1.0,43024.0,43025
laravel-5,pragmatic_tone,4.0,42959.0,42963
curl,pragmatic_tone,5.0,42842.0,42847
hadoop,pragmatic_tone,6.0,42747.0,42753
javascript,actionability,92083.0,2390300.0,2482383
python,actionability,80841.0,2089772.0,2170613
java,actionability,79279.0,1806815.0,1886094
c#,actionability,70159.0,1533934.0,1604093
php,actionability,56659.0,1389802.0,1446461
android,actionability,44714.0,1325048.0,1369762
html,actionability,41068.0,1132326.0,1173394
jquery,actionability,37011.0,982858.0,1019869
c++,actionability,37734.0,770451.0,808185
css,actionability,22426.0,775390.0,797816
sql,actionability,26194.0,645801.0,671995
ios,actionability,25580.0,643035.0,668615
mysql,actionability,25991.0,627755.0,653746
r,actionability,14069.0,488961.0,503030
reactjs,actionability,12958.0,445042.0,458000
node.js,actionability,15734.0,439714.0,455448
arrays,actionability,20816.0,395473.0,416289
c,actionability,21044.0,385094.0,406138
asp.net,actionability,13708.0,354233.0,367941
json,actionability,15446.0,340936.0,356382
.net,actionability,12912.0,322954.0,335866
sql-server,actionability,13366.0,321532.0,334898
python-3.x,actionability,12079.0,322521.0,334600
ruby-on-rails,actionability,11199.0,321538.0,332737
swift,actionability,14087.0,314137.0,328224
django,actionability,9881.0,295282.0,305163
angular,actionability,8494.0,289723.0,298217
objective-c,actionability,12152.0,275315.0,287467
excel,actionability,11535.0,275517.0,287052
pandas,actionability,9110.0,277803.0,286913
regex,actionability,8844.0,251870.0,260714
angularjs,actionability,7854.0,248290.0,256144
typescript,actionability,6437.0,220834.0,227271
ruby,actionability,8033.0,218778.0,226811
linux,actionability,8447.0,215335.0,223782
ajax,actionability,9421.0,208233.0,217654
iphone,actionability,8047.0,208801.0,216848
vba,actionability,9564.0,205712.0,215276
xml,actionability,7771.0,203963.0,211734
laravel,actionability,5987.0,203290.0,209277
spring,actionability,6369.0,200271.0,206640
asp.net-mvc,actionability,7970.0,190150.0,198120
database,actionability,8010.0,183645.0,191655
wordpress,actionability,5070.0,179966.0,185036
string,actionability,8722.0,175832.0,184554
postgresql,actionability,5368.0,171018.0,176386
flutter,actionability,4078.0,167267.0,171345
mongodb,actionability,4994.0,166116.0,171110
wpf,actionability,6904.0,160763.0,167667
windows,actionability,6357.0,158053.0,164410
bash,actionability,6780.0,149441.0,156221
xcode,actionability,6227.0,148757.0,154984
amazon-web-services,actionability,4608.0,149262.0,153870
oracle-database,actionability,4938.0,146590.0,151528
git,actionability,7182.0,144316.0,151498
dataframe,actionability,4705.0,143038.0,147743
spring-boot,actionability,3942.0,141610.0,145552
azure,actionability,4022.0,138487.0,142509
list,actionability,6368.0,135069.0,141437
multithreading,actionability,6525.0,132811.0,139336
firebase,actionability,5116.0,133823.0,138939
vb.net,actionability,6358.0,132486.0,138844
docker,actionability,4159.0,130149.0,134308
react-native,actionability,2928.0,125425.0,128353
eclipse,actionability,4331.0,117773.0,122104
algorithm,actionability,6996.0,113656.0,120652
powershell,actionability,4073.0,114106.0,118179
macos,actionability,4171.0,110618.0,114789
numpy,actionability,3750.0,110340.0,114090
visual-studio,actionability,4125.0,109355.0,113480
forms,actionability,4726.0,107044.0,111770
image,actionability,4395.0,106986.0,111381
function,actionability,4879.0,105988.0,110867
scala,actionability,3199.0,107547.0,110746
vue.js,actionability,2804.0,102275.0,105079
twitter-bootstrap,actionability,2621.0,98795.0,101416
performance,actionability,3741.0,97417.0,101158
winforms,actionability,4868.0,93638.0,98506
selenium,actionability,2949.0,95145.0,98094
loops,actionability,4493.0,91697.0,96190
kotlin,actionability,2409.0,92007.0,94416
sqlite,actionability,3636.0,90149.0,93785
matlab,actionability,3561.0,89828.0,93389
python-2.7,actionability,3591.0,89491.0,93082
hibernate,actionability,2749.0,90091.0,92840
shell,actionability,3824.0,88620.0,92444
express,actionability,3200.0,89050.0,92250
dart,actionability,2443.0,89440.0,91883
entity-framework,actionability,3739.0,86752.0,90491
csv,actionability,4253.0,85346.0,89599
rest,actionability,3041.0,86338.0,89379
apache,actionability,2462.0,86821.0,89283
maven,actionability,2793.0,84292.0,87085
android-studio,actionability,2531.0,84231.0,86762
linq,actionability,3654.0,82803.0,86457
dictionary,actionability,3948.0,81808.0,85756
qt,actionability,2844.0,81918.0,84762
asp.net-core,actionability,3099.0,80871.0,83970
unit-testing,actionability,3274.0,80104.0,83378
facebook,actionability,2207.0,79637.0,81844
swing,actionability,4281.0,76819.0,81100
file,actionability,4105.0,76461.0,80566
class,actionability,3959.0,75513.0,79472
apache-spark,actionability,2244.0,76970.0,79214
tensorflow,actionability,1935.0,75906.0,77841
sorting,actionability,3738.0,73111.0,76849
date,actionability,3217.0,73497.0,76714
unity-game-engine,actionability,2958.0,71929.0,74887
t-sql,actionability,2925.0,70623.0,73548
go,actionability,2081.0,70687.0,72768
authentication,actionability,2686.0,69976.0,72662
symfony,actionability,1799.0,70847.0,72646
for-loop,actionability,2994.0,68778.0,71772
.htaccess,actionability,1844.0,69852.0,71696
matplotlib,actionability,2358.0,69116.0,71474
datetime,actionability,3130.0,67990.0,71120
opencv,actionability,2435.0,68471.0,70906
google-chrome,actionability,1856.0,67360.0,69216
codeigniter,actionability,1985.0,66621.0,68606
perl,actionability,3226.0,64807.0,68033
validation,actionability,2229.0,64246.0,66475
http,actionability,2271.0,64138.0,66409
sockets,actionability,3007.0,61856.0,64863
object,actionability,2990.0,61710.0,64700
google-maps,actionability,1869.0,62655.0,64524
uitableview,actionability,3146.0,60377.0,63523
xaml,actionability,2283.0,59935.0,62218
if-statement,actionability,2549.0,59467.0,62016
oop,actionability,2905.0,59090.0,61995
ubuntu,actionability,1851.0,57078.0,58929
cordova,actionability,1213.0,57016.0,58229
visual-studio-code,actionability,1759.0,56441.0,58200
email,actionability,2031.0,55934.0,57965
android-layout,actionability,1769.0,55952.0,57721
ms-access,actionability,2603.0,55093.0,57696
web-services,actionability,1863.0,55808.0,57671
spring-mvc,actionability,1757.0,55457.0,57214
ggplot2,actionability,1533.0,55659.0,57192
parsing,actionability,2716.0,54290.0,57006
pointers,actionability,2875.0,54059.0,56934
github,actionability,2322.0,54332.0,56654
user-interface,actionability,2329.0,54193.0,56522
kubernetes,actionability,1497.0,55016.0,56513
c++11,actionability,2334.0,54175.0,56509
selenium-webdriver,actionability,1556.0,54590.0,56146
google-sheets,actionability,2036.0,53973.0,56009
elasticsearch,actionability,1282.0,54649.0,55931
google-apps-script,actionability,2265.0,52970.0,55235
templates,actionability,1906.0,53300.0,55206
ruby-on-rails-3,actionability,1884.0,53207.0,55091
security,actionability,2280.0,52658.0,54938
variables,actionability,2562.0,51105.0,53667
machine-learning,actionability,1771.0,51750.0,53521
flask,actionability,1778.0,51651.0,53429
sql-server-2008,actionability,2137.0,51251.0,53388
exception,actionability,2098.0,50946.0,53044
tkinter,actionability,2370.0,49950.0,52320
delphi,actionability,2214.0,49952.0,52166
nginx,actionability,1186.0,50864.0,52050
listview,actionability,2108.0,49586.0,51694
haskell,actionability,2146.0,49320.0,51466
debugging,actionability,1918.0,49301.0,51219
asynchronous,actionability,2441.0,48655.0,51096
jpa,actionability,1537.0,49547.0,51084
jsp,actionability,1899.0,48877.0,50776
web-scraping,actionability,1975.0,48672.0,50647
gradle,actionability,1324.0,49031.0,50355
batch-file,actionability,2240.0,47934.0,50174
generics,actionability,1959.0,47995.0,49954
xamarin,actionability,1585.0,48306.0,49891
pdf,actionability,1696.0,48019.0,49715
google-cloud-platform,actionability,1353.0,47974.0,49327
wcf,actionability,1605.0,47650.0,49255
amazon-s3,actionability,1528.0,47595.0,49123
ssl,actionability,1470.0,47536.0,49006
testing,actionability,1576.0,47197.0,48773
jenkins,actionability,1364.0,47167.0,48531
npm,actionability,1160.0,46345.0,47505
unix,actionability,1936.0,45425.0,47361
recursion,actionability,2073.0,45098.0,47171
ionic-framework,actionability,1018.0,45373.0,46391
network-programming,actionability,1733.0,44557.0,46290
google-app-engine,actionability,1449.0,44648.0,46097
visual-studio-2010,actionability,1730.0,43937.0,45667
mongoose,actionability,1334.0,44064.0,45398
assembly,actionability,2444.0,42574.0,45018
.net-core,actionability,1425.0,43344.0,44769
android-fragments,actionability,1814.0,42482.0,44296
math,actionability,2423.0,41851.0,44274
join,actionability,1579.0,42038.0,43617
winapi,actionability,2157.0,41280.0,43437
svg,actionability,1182.0,42218.0,43400
rust,actionability,1989.0,41254.0,43243
animation,actionability,1313.0,41927.0,43240
session,actionability,1917.0,41245.0,43162
intellij-idea,actionability,1277.0,41817.0,43094
django-models,actionability,1539.0,41486.0,43025
laravel-5,actionability,1251.0,41712.0,42963
curl,actionability,1470.0,41377.0,42847
hadoop,actionability,982.0,41771.0,42753
javascript,scope_ambiguity,3735.0,2478648.0,2482383
python,scope_ambiguity,3291.0,2167322.0,2170613
java,scope_ambiguity,3676.0,1882418.0,1886094
c#,scope_ambiguity,3922.0,1600171.0,1604093
php,scope_ambiguity,2261.0,1444200.0,1446461
android,scope_ambiguity,1620.0,1368142.0,1369762
html,scope_ambiguity,1561.0,1171833.0,1173394
jquery,scope_ambiguity,1247.0,1018622.0,1019869
c++,scope_ambiguity,2393.0,805792.0,808185
css,scope_ambiguity,1052.0,796764.0,797816
sql,scope_ambiguity,2204.0,669791.0,671995
ios,scope_ambiguity,990.0,667625.0,668615
mysql,scope_ambiguity,1162.0,652584.0,653746
r,scope_ambiguity,543.0,502487.0,503030
reactjs,scope_ambiguity,406.0,457594.0,458000
node.js,scope_ambiguity,494.0,454954.0,455448
arrays,scope_ambiguity,870.0,415419.0,416289
c,scope_ambiguity,1321.0,404817.0,406138
asp.net,scope_ambiguity,659.0,367282.0,367941
json,scope_ambiguity,418.0,355964.0,356382
.net,scope_ambiguity,936.0,334930.0,335866
sql-server,scope_ambiguity,1195.0,333703.0,334898
python-3.x,scope_ambiguity,453.0,334147.0,334600
ruby-on-rails,scope_ambiguity,367.0,332370.0,332737
swift,scope_ambiguity,558.0,327666.0,328224
django,scope_ambiguity,305.0,304858.0,305163
angular,scope_ambiguity,316.0,297901.0,298217
objective-c,scope_ambiguity,483.0,286984.0,287467
excel,scope_ambiguity,485.0,286567.0,287052
pandas,scope_ambiguity,270.0,286643.0,286913
regex,scope_ambiguity,904.0,259810.0,260714
angularjs,scope_ambiguity,246.0,255898.0,256144
typescript,scope_ambiguity,245.0,227026.0,227271
ruby,scope_ambiguity,334.0,226477.0,226811
linux,scope_ambiguity,408.0,223374.0,223782
ajax,scope_ambiguity,212.0,217442.0,217654
iphone,scope_ambiguity,322.0,216526.0,216848
vba,scope_ambiguity,369.0,214907.0,215276
xml,scope_ambiguity,284.0,211450.0,211734
laravel,scope_ambiguity,257.0,209020.0,209277
spring,scope_ambiguity,250.0,206390.0,206640
asp.net-mvc,scope_ambiguity,311.0,197809.0,198120
database,scope_ambiguity,499.0,191156.0,191655
wordpress,scope_ambiguity,219.0,184817.0,185036
string,scope_ambiguity,565.0,183989.0,184554
postgresql,scope_ambiguity,268.0,176118.0,176386
flutter,scope_ambiguity,198.0,171147.0,171345
mongodb,scope_ambiguity,178.0,170932.0,171110
wpf,scope_ambiguity,240.0,167427.0,167667
windows,scope_ambiguity,353.0,164057.0,164410
bash,scope_ambiguity,292.0,155929.0,156221
xcode,scope_ambiguity,202.0,154782.0,154984
amazon-web-services,scope_ambiguity,199.0,153671.0,153870
oracle-database,scope_ambiguity,380.0,151148.0,151528
git,scope_ambiguity,295.0,151203.0,151498
dataframe,scope_ambiguity,145.0,147598.0,147743
spring-boot,scope_ambiguity,144.0,145408.0,145552
azure,scope_ambiguity,202.0,142307.0,142509
list,scope_ambiguity,310.0,141127.0,141437
multithreading,scope_ambiguity,436.0,138900.0,139336
firebase,scope_ambiguity,189.0,138750.0,138939
vb.net,scope_ambiguity,280.0,138564.0,138844
docker,scope_ambiguity,132.0,134176.0,134308
react-native,scope_ambiguity,121.0,128232.0,128353
eclipse,scope_ambiguity,147.0,121957.0,122104
algorithm,scope_ambiguity,793.0,119859.0,120652
powershell,scope_ambiguity,152.0,118027.0,118179
macos,scope_ambiguity,159.0,114630.0,114789
numpy,scope_ambiguity,203.0,113887.0,114090
visual-studio,scope_ambiguity,197.0,113283.0,113480
forms,scope_ambiguity,145.0,111625.0,111770
image,scope_ambiguity,158.0,111223.0,111381
function,scope_ambiguity,221.0,110646.0,110867
scala,scope_ambiguity,219.0,110527.0,110746
vue.js,scope_ambiguity,92.0,104987.0,105079
twitter-bootstrap,scope_ambiguity,95.0,101321.0,101416
performance,scope_ambiguity,473.0,100685.0,101158
winforms,scope_ambiguity,241.0,98265.0,98506
selenium,scope_ambiguity,125.0,97969.0,98094
loops,scope_ambiguity,214.0,95976.0,96190
kotlin,scope_ambiguity,122.0,94294.0,94416
sqlite,scope_ambiguity,109.0,93676.0,93785
matlab,scope_ambiguity,154.0,93235.0,93389
python-2.7,scope_ambiguity,161.0,92921.0,93082
hibernate,scope_ambiguity,96.0,92744.0,92840
shell,scope_ambiguity,164.0,92280.0,92444
express,scope_ambiguity,80.0,92170.0,92250
dart,scope_ambiguity,135.0,91748.0,91883
entity-framework,scope_ambiguity,184.0,90307.0,90491
csv,scope_ambiguity,115.0,89484.0,89599
rest,scope_ambiguity,148.0,89231.0,89379
apache,scope_ambiguity,121.0,89162.0,89283
maven,scope_ambiguity,128.0,86957.0,87085
android-studio,scope_ambiguity,93.0,86669.0,86762
linq,scope_ambiguity,194.0,86263.0,86457
dictionary,scope_ambiguity,174.0,85582.0,85756
qt,scope_ambiguity,95.0,84667.0,84762
asp.net-core,scope_ambiguity,151.0,83819.0,83970
unit-testing,scope_ambiguity,151.0,83227.0,83378
facebook,scope_ambiguity,89.0,81755.0,81844
swing,scope_ambiguity,120.0,80980.0,81100
file,scope_ambiguity,158.0,80408.0,80566
class,scope_ambiguity,152.0,79320.0,79472
apache-spark,scope_ambiguity,86.0,79128.0,79214
tensorflow,scope_ambiguity,78.0,77763.0,77841
sorting,scope_ambiguity,180.0,76669.0,76849
date,scope_ambiguity,174.0,76540.0,76714
unity-game-engine,scope_ambiguity,121.0,74766.0,74887
t-sql,scope_ambiguity,295.0,73253.0,73548
go,scope_ambiguity,102.0,72666.0,72768
authentication,scope_ambiguity,106.0,72556.0,72662
symfony,scope_ambiguity,71.0,72575.0,72646
for-loop,scope_ambiguity,119.0,71653.0,71772
.htaccess,scope_ambiguity,99.0,71597.0,71696
matplotlib,scope_ambiguity,60.0,71414.0,71474
datetime,scope_ambiguity,186.0,70934.0,71120
opencv,scope_ambiguity,104.0,70802.0,70906
google-chrome,scope_ambiguity,108.0,69108.0,69216
codeigniter,scope_ambiguity,91.0,68515.0,68606
perl,scope_ambiguity,145.0,67888.0,68033
validation,scope_ambiguity,150.0,66325.0,66475
http,scope_ambiguity,143.0,66266.0,66409
sockets,scope_ambiguity,134.0,64729.0,64863
object,scope_ambiguity,126.0,64574.0,64700
google-maps,scope_ambiguity,68.0,64456.0,64524
uitableview,scope_ambiguity,93.0,63430.0,63523
xaml,scope_ambiguity,87.0,62131.0,62218
if-statement,scope_ambiguity,196.0,61820.0,62016
oop,scope_ambiguity,194.0,61801.0,61995
ubuntu,scope_ambiguity,64.0,58865.0,58929
cordova,scope_ambiguity,57.0,58172.0,58229
visual-studio-code,scope_ambiguity,73.0,58127.0,58200
email,scope_ambiguity,72.0,57893.0,57965
android-layout,scope_ambiguity,70.0,57651.0,57721
ms-access,scope_ambiguity,132.0,57564.0,57696
web-services,scope_ambiguity,101.0,57570.0,57671
spring-mvc,scope_ambiguity,62.0,57152.0,57214
ggplot2,scope_ambiguity,30.0,57162.0,57192
parsing,scope_ambiguity,135.0,56871.0,57006
pointers,scope_ambiguity,164.0,56770.0,56934
github,scope_ambiguity,103.0,56551.0,56654
user-interface,scope_ambiguity,105.0,56417.0,56522
kubernetes,scope_ambiguity,62.0,56451.0,56513
c++11,scope_ambiguity,229.0,56280.0,56509
selenium-webdriver,scope_ambiguity,69.0,56077.0,56146
google-sheets,scope_ambiguity,75.0,55934.0,56009
elasticsearch,scope_ambiguity,67.0,55864.0,55931
google-apps-script,scope_ambiguity,62.0,55173.0,55235
templates,scope_ambiguity,128.0,55078.0,55206
ruby-on-rails-3,scope_ambiguity,46.0,55045.0,55091
security,scope_ambiguity,162.0,54776.0,54938
variables,scope_ambiguity,108.0,53559.0,53667
machine-learning,scope_ambiguity,103.0,53418.0,53521
flask,scope_ambiguity,39.0,53390.0,53429
sql-server-2008,scope_ambiguity,180.0,53208.0,53388
exception,scope_ambiguity,182.0,52862.0,53044
tkinter,scope_ambiguity,52.0,52268.0,52320
delphi,scope_ambiguity,120.0,52046.0,52166
nginx,scope_ambiguity,48.0,52002.0,52050
listview,scope_ambiguity,45.0,51649.0,51694
haskell,scope_ambiguity,107.0,51359.0,51466
debugging,scope_ambiguity,103.0,51116.0,51219
asynchronous,scope_ambiguity,114.0,50982.0,51096
jpa,scope_ambiguity,62.0,51022.0,51084
jsp,scope_ambiguity,54.0,50722.0,50776
web-scraping,scope_ambiguity,33.0,50614.0,50647
gradle,scope_ambiguity,70.0,50285.0,50355
batch-file,scope_ambiguity,92.0,50082.0,50174
generics,scope_ambiguity,164.0,49790.0,49954
xamarin,scope_ambiguity,48.0,49843.0,49891
pdf,scope_ambiguity,70.0,49645.0,49715
google-cloud-platform,scope_ambiguity,56.0,49271.0,49327
wcf,scope_ambiguity,71.0,49184.0,49255
amazon-s3,scope_ambiguity,61.0,49062.0,49123
ssl,scope_ambiguity,67.0,48939.0,49006
testing,scope_ambiguity,84.0,48689.0,48773
jenkins,scope_ambiguity,43.0,48488.0,48531
npm,scope_ambiguity,40.0,47465.0,47505
unix,scope_ambiguity,103.0,47258.0,47361
recursion,scope_ambiguity,167.0,47004.0,47171
ionic-framework,scope_ambiguity,53.0,46338.0,46391
network-programming,scope_ambiguity,92.0,46198.0,46290
google-app-engine,scope_ambiguity,49.0,46048.0,46097
visual-studio-2010,scope_ambiguity,70.0,45597.0,45667
mongoose,scope_ambiguity,35.0,45363.0,45398
assembly,scope_ambiguity,182.0,44836.0,45018
.net-core,scope_ambiguity,73.0,44696.0,44769
android-fragments,scope_ambiguity,53.0,44243.0,44296
math,scope_ambiguity,226.0,44048.0,44274
join,scope_ambiguity,103.0,43514.0,43617
winapi,scope_ambiguity,108.0,43329.0,43437
svg,scope_ambiguity,48.0,43352.0,43400
rust,scope_ambiguity,78.0,43165.0,43243
animation,scope_ambiguity,50.0,43190.0,43240
session,scope_ambiguity,82.0,43080.0,43162
intellij-idea,scope_ambiguity,36.0,43058.0,43094
django-models,scope_ambiguity,46.0,42979.0,43025
laravel-5,scope_ambiguity,51.0,42912.0,42963
curl,scope_ambiguity,46.0,42801.0,42847
hadoop,scope_ambiguity,42.0,42711.0,42753
javascript,quantifier_distribution,1988.0,2480395.0,2482383
python,quantifier_distribution,2065.0,2168548.0,2170613
java,quantifier_distribution,1871.0,1884223.0,1886094
c#,quantifier_distribution,1726.0,1602367.0,1604093
php,quantifier_distribution,1297.0,1445164.0,1446461
android,quantifier_distribution,654.0,1369108.0,1369762
html,quantifier_distribution,909.0,1172485.0,1173394
jquery,quantifier_distribution,836.0,1019033.0,1019869
c++,quantifier_distribution,1141.0,807044.0,808185
css,quantifier_distribution,654.0,797162.0,797816
sql,quantifier_distribution,1281.0,670714.0,671995
ios,quantifier_distribution,439.0,668176.0,668615
mysql,quantifier_distribution,989.0,652757.0,653746
r,quantifier_distribution,579.0,502451.0,503030
reactjs,quantifier_distribution,242.0,457758.0,458000
node.js,quantifier_distribution,280.0,455168.0,455448
arrays,quantifier_distribution,548.0,415741.0,416289
c,quantifier_distribution,585.0,405553.0,406138
asp.net,quantifier_distribution,298.0,367643.0,367941
json,quantifier_distribution,227.0,356155.0,356382
.net,quantifier_distribution,409.0,335457.0,335866
sql-server,quantifier_distribution,639.0,334259.0,334898
python-3.x,quantifier_distribution,283.0,334317.0,334600
ruby-on-rails,quantifier_distribution,255.0,332482.0,332737
swift,quantifier_distribution,199.0,328025.0,328224
django,quantifier_distribution,189.0,304974.0,305163
angular,quantifier_distribution,145.0,298072.0,298217
objective-c,quantifier_distribution,222.0,287245.0,287467
excel,quantifier_distribution,462.0,286590.0,287052
pandas,quantifier_distribution,297.0,286616.0,286913
regex,quantifier_distribution,343.0,260371.0,260714
angularjs,quantifier_distribution,134.0,256010.0,256144
typescript,quantifier_distribution,110.0,227161.0,227271
ruby,quantifier_distribution,180.0,226631.0,226811
linux,quantifier_distribution,232.0,223550.0,223782
ajax,quantifier_distribution,155.0,217499.0,217654
iphone,quantifier_distribution,135.0,216713.0,216848
